,Count,Nouns_Adjectives
1267,477,cable lock
360,403,apartment building
5227,394,parking garage
5231,256,parking lot
366,233,apartment complex
2733,211,garage door
4168,201,locked garage
3329,198,home garage
5914,170,rack outside
1436,141,car rack
3965,137,lock cable
2136,131,door open
5774,125,rack car
7180,117,street sign
7065,109,storage room
7067,106,storage unit
1006,104,bolt cutter
3252,97,high school
4081,96,lock rack
379,93,apartment garage
5872,87,rack lock
3768,87,kryptonite lock
5737,87,rack apartment
3987,87,lock cut
5021,86,outside apartment
7970,82,wheel frame
4187,75,locked rack
5512,74,police report
2998,73,good karma
2811,72,garage open
6602,71,serial number
6094,71,rear wheel
4006,71,lock frame
5770,71,rack cable
6713,70,sign post
2779,68,garage lock
4950,67,open garage
4090,67,lock scene
7049,63,storage area
5233,63,parking meter
2834,62,garage rack
7060,61,storage locker
6577,61,security camera
2760,61,garage home
4195,60,locked storage
6031,58,rack work
1129,57,building garage
2693,56,garage apartment
2615,55,frame wheel
1068,54,broad daylight
6964,54,state university
4018,54,lock helmet
1254,53,cable cut
4496,52,middle night
444,52,apt building
6319,51,roof rack
5920,51,rack parking
5223,50,parking area
1,49,00 pm
7736,49,underground parking
6085,49,rear rack
6557,49,secure garage
5063,48,outside house
2427,48,fenced yard
4137,48,lock wheel
3222,48,heavy duty
7899,46,water bottle
751,46,basement apartment
4013,45,lock ground
5560,44,porch house
6032,43,rack workplace
7430,42,thief garage
3617,42,inside garage
3924,41,lloyd center
3813,41,laundry room
7978,40,wheel lock
6204,39,residential garage
2652,39,friend house
2865,38,garage thief
410,38,apartment rack
7629,38,train station
2762,37,garage house
746,37,bart station
1921,37,cross street
6467,37,school rack
1562,36,chain lock
8033,36,white male
5241,35,parking sign
2418,35,fenced backyard
1859,35,corner sw
5873,35,rack locked
2614,35,frame tire
6568,35,secured garage
5899,35,rack negotiable
3357,34,home porch
6322,34,room apartment
5688,34,psu campus
5827,34,rack garage
6398,34,san francisco
7734,33,underground garage
8218,33,year old
3076,33,grocery store
1435,33,car port
3878,32,light pole
6515,32,seat post
1672,32,coffee shop
7438,32,thief lock
4153,32,locked cage
4191,32,locked room
2808,32,garage night
2272,31,elementary school
1950,31,cut lock
4612,31,morning lock
7269,31,sw 5th
4169,31,locked gate
1022,30,bottle holder
3960,30,lock bolt
406,30,apartment patio
4906,30,office building
8146,30,workplace rack
4162,30,locked door
7767,30,university campus
405,30,apartment parking
5667,30,private garage
1306,30,cable wheel
5460,29,pm lock
7572,29,tire frame
8184,29,yard house
1802,29,convention center
1042,29,brand new
7632,28,transit center
445,28,apt complex
2242,28,early morning
6570,28,secured parking
4527,28,minute later
6537,28,second floor
2482,28,floor balcony
4155,27,locked car
4120,27,lock tire
2480,27,floor apartment
5280,27,pearl district
1142,27,building lock
4145,27,locked apartment
2805,27,garage negotiable
8129,27,work place
7047,27,stop sign
2596,26,frame rear
7171,26,street post
4497,26,middle school
4746,26,new season
3493,26,house garage
2594,26,frame rack
5061,26,outside home
6737,26,single speed
2177,26,downtown portland
2697,25,garage ave
5559,25,porch home
7874,25,visible street
5797,25,rack corner
5246,25,parking structure
1414,25,car driveway
7575,25,tire lock
1850,25,corner nw
1705,24,combination lock
2576,24,frame cable
3236,24,helmet lock
3264,24,hitch rack
4181,24,locked parking
1283,24,cable rack
4481,24,metro station
3174,24,handlebar tape
3418,24,hour fitness
1561,23,chain link
651,23,backyard house
1653,23,closed garage
3429,23,hour lock
3879,23,light post
736,23,bar tape
2338,22,eternal gratitude
422,22,apartment storage
7168,22,street pole
2866,22,garage thieve
4786,22,night morning
1162,22,building rack
7559,22,time theft
2714,22,garage cable
7300,22,sw park
356,22,apartment balcony
5362,22,pickup truck
6712,22,sign pole
5953,22,rack school
2130,22,door lock
2709,21,garage break
1775,21,condo garage
7094,21,story balcony
3775,21,la fitness
357,21,apartment basement
5043,21,outside door
1021,21,bottle cage
895,21,black male
7847,21,video surveillance
460,21,area apartment
2950,21,gated garage
5701,20,public library
4399,20,market st
1258,20,cable frame
4149,20,locked basement
1772,20,condo building
7021,20,stolen garage
3345,20,home negotiable
6027,20,rack wheel
6979,20,station rack
4036,20,lock lock
6138,20,reed college
1113,20,building cable
2539,19,forced entry
6544,19,second story
2692,19,garage alley
3649,19,interstate ave
7262,19,sw 10th
1181,19,building sw
7027,19,stolen locked
1942,19,cut cable
5705,19,public rack
5847,19,rack home
1718,19,community college
473,19,area garage
3923,19,living room
7576,19,tire rack
1454,19,car window
4314,19,main parking
6560,19,secure parking
284,18,african american
3971,18,lock chain
2711,18,garage building
408,18,apartment porch
5581,18,porch railing
7988,18,wheel rack
1227,18,bus stop
148,18,30 pm
4057,18,lock open
2952,18,gated parking
776,18,basement storage
7418,18,thief cable
2588,18,frame lock
3910,18,link fence
2942,18,gated backyard
6001,18,rack truck
2121,18,door garage
7672,18,truck bed
2857,17,garage storage
2862,17,garage tbd
5244,17,parking spot
5989,17,rack tbd
5474,17,pm rack
1517,17,center mall
1899,17,cramer hall
4400,17,market street
8175,17,yard fence
4859,17,nw ave
1109,17,building basement
4422,17,max station
75,17,15th ave
6402,17,sandy blvd
2879,17,garage wall
4060,17,lock outside
6693,17,sidewalk rack
1622,16,clark county
7296,16,sw morrison
7263,16,sw 11th
2078,16,disc brake
5673,16,private residence
2906,16,gate apartment
584,16,ave negotiable
373,16,apartment door
6584,16,security guard
1224,16,bus rack
2440,16,ferry building
5979,16,rack street
5987,16,rack sw
6500,16,seat black
5537,16,porch apartment
4854,16,nw 14th
6418,16,saturday night
3355,16,home patio
4317,16,main st
6047,16,railing outside
1241,16,busy street
7964,16,wheel cable
1380,16,campus rack
7175,16,street rack
7841,16,video camera
3376,16,home yard
4687,16,muni bus
6563,16,secure storage
6709,15,sign lock
5091,15,outside rack
5807,15,rack dorm
8043,15,white seat
4436,15,medical center
6573,15,secured storage
4863,15,nw couch
5739,15,rack apt
6417,15,saturday morning
1439,15,car roof
4494,15,middle day
3198,15,hawthorne blvd
2927,15,gate open
6098,15,rec center
5499,15,pole lock
5023,15,outside apt
1347,15,camera footage
2727,15,garage corner
4107,15,lock stolen
1953,15,cut rack
246,15,access garage
4083,15,lock rear
4027,15,lock intact
197,15,5th ave
5768,15,rack bus
747,15,baseball cap
1183,14,building thief
6989,14,steel cable
6430,14,scene lock
1773,14,condo complex
1170,14,building security
7619,14,trader joe
5773,14,rack campus
3528,14,house porch
3761,14,kryptonite cable
1260,14,cable ground
6080,14,rear light
2725,14,garage condo
7608,14,town center
4669,14,movie theater
4411,14,master lock
522,14,attached garage
4092,14,lock seat
5122,14,outside workplace
5957,14,rack secure
1963,14,cutter lock
6924,14,stair apartment
5625,14,post outside
5958,14,rack secured
183,14,45 pm
3868,14,light blue
4148,14,locked backyard
7486,14,thieve garage
5951,13,rack safeway
1301,13,cable tire
694,13,balcony apartment
2229,13,duty cable
4674,13,mt tabor
4998,13,oregon convention
7431,13,thief gate
5070,13,outside lock
4576,13,monday night
6091,13,rear tire
4862,13,nw corner
5756,13,rack black
5720,13,quick release
5991,13,rack thief
4528,13,minute lock
6025,13,rack west
5121,13,outside work
5670,13,private parking
3786,13,lamp post
4063,13,lock parking
4119,13,lock time
7363,13,telephone pole
842,13,big hug
4964,13,open night
5766,13,rack building
5964,13,rack sidewalk
1880,13,couple hour
3020,13,grant high
5477,13,pm saturday
2956,13,gated yard
8183,13,yard home
3654,13,iron fence
1989,13,dark green
3519,13,house night
517,12,ash st
6955,12,stark st
1960,12,cutter cable
4115,12,lock theft
1166,12,building room
3624,12,inside locked
644,12,backyard fence
2616,12,frame white
13,12,10th ave
873,12,black fender
6095,12,rear window
4932,12,old town
7003,12,sticker frame
4454,12,metal fence
2402,12,fence lock
478,12,area lock
5236,12,parking pole
5376,12,piece lock
908,12,black rack
931,12,black white
1526,12,center rack
1884,12,court apartment
5995,12,rack tire
3406,12,hotel parking
309,12,alberta st
7370,12,test ride
4466,12,metal railing
5609,12,portland state
1248,12,cable bolt
7247,12,surveillance camera
2997,12,good condition
7802,12,used bolt
7832,12,vehicle rack
8181,12,yard gate
3957,12,lock black
2093,12,division st
3946,12,lock area
4867,12,nw glisan
7123,12,street corner
2696,12,garage area
1180,12,building storage
1590,12,chris king
4045,12,lock metal
7305,12,sw st
6340,12,room locked
5204,12,park place
2103,12,door apartment
1640,12,cleveland high
5613,12,post cable
4070,12,lock pm
1289,12,cable scene
5994,12,rack time
4207,12,locked yard
7226,12,sunday morning
5176,12,park apartment
