,theft_description
3,2
4,5
5,6
6,4
7,14
8,4
9,8
10,2
11,11
14,1
15,4
16,4
17,5
18,11
19,6
20,12
21,4
22,4
23,3
24,7
33,3
47,3
49,3
50,2
51,19
52,5
53,9
54,3
55,3
56,12
57,1
58,2
60,4
61,4
62,8
63,11
65,4
66,92
68,9
69,1
70,2
71,3
72,15
73,10
74,7
75,3
76,1
77,4
79,3
81,4
82,4
83,7
84,4
85,5
86,8
87,11
89,4
91,2
92,4
93,6
94,3
95,10
96,15
97,9
98,5
99,9
100,8
105,16
106,30
110,5
112,13
113,6
114,18
115,30
116,27
118,2
119,8
120,7
124,59
125,46
126,4
129,9
130,23
134,13
144,4
148,28
150,10
157,4
158,21
159,15
163,3
164,4
166,1
167,4
168,3
169,2
170,3
171,18
172,1
173,5
174,5
177,10
178,30
180,28
185,5
186,23
188,3
189,6
190,6
191,14
192,2
193,4
194,24
195,4
196,16
201,8
202,25
206,11
207,19
209,7
218,5
219,7
220,4
221,5
222,3
223,4
224,6
225,6
226,3
227,6
229,40
233,17
234,40
235,19
236,14
237,40
239,8
245,6
246,12
247,6
250,3
252,6
253,4
254,6
255,3
256,2
257,8
258,20
259,6
260,49
261,2
262,4
264,2
265,3
266,3
267,2
269,33
270,6
283,20
293,9
298,10
299,2
300,9
301,29
302,3
303,12
304,1
305,7
307,4
309,30
310,32
312,6
313,18
314,18
315,3
316,1
317,3
318,18
319,1
320,3
321,4
322,2
323,6
324,2
325,7
326,5
327,13
346,9
363,74
369,37
381,63
394,4
395,13
396,15
397,3
398,40
399,4
400,4
401,2
402,3
405,24
408,4
410,20
411,120
422,8
424,9
425,4
426,10
428,5
429,4
430,5
431,3
432,6
433,4
434,4
436,10
437,14
438,4
440,1
441,1
442,4
443,53
444,12
445,19
446,1
447,16
448,14
449,6
450,3
451,16
452,9
453,1
454,2
457,2
461,53
462,15
465,21
469,26
471,3
472,2
473,4
474,5
475,15
477,6
478,6
479,3
480,4
485,29
488,1
490,2
493,18
494,8
503,2
511,2
512,12
516,26
519,46
522,4
523,11
524,12
525,3
526,5
527,20
528,21
529,3
530,6
531,3
532,2
534,2
535,2
538,4
539,8
540,1
542,12
543,4
544,2
547,136
548,7
550,3
552,4
553,2
554,10
558,2
559,1
560,2
561,3
562,2
565,3
567,33
572,4
575,6
576,7
577,11
578,4
581,3
590,11
594,5
595,16
605,2
607,3
608,2
610,2
612,2
614,2
616,16
618,5
620,6
621,4
622,9
623,3
624,135
625,5
626,1
627,6
628,3
629,16
630,3
631,3
632,8
635,44
636,23
641,10
651,2
652,2
654,4
655,4
656,21
657,6
658,25
659,22
660,33
662,9
675,20
678,5
685,3
686,2
687,4
689,13
690,31
691,3
692,6
694,13
695,2
697,16
698,4
701,5
702,9
703,6
704,9
705,8
706,1
707,26
708,10
716,9
725,6
730,4
731,7
732,3
733,4
734,1
735,2
736,12
737,4
738,8
739,4
740,8
742,65
744,4
748,5
749,4
750,3
753,8
754,4
755,4
756,39
757,21
758,21
759,13
760,13
761,3
762,2
763,3
764,4
765,1
766,5
767,22
768,4
769,3
770,3
771,21
772,1
774,2
775,12
776,4
778,3
779,22
781,14
782,5
784,13
785,7
786,10
787,3
788,19
789,3
790,3
791,4
792,15
794,3
796,21
799,20
806,9
807,2
808,3
809,10
810,3
811,4
812,6
813,3
814,10
815,6
820,5
821,5
822,27
823,48
824,16
825,34
826,22
827,2
828,12
829,11
830,1
831,8
833,3
834,6
835,2
837,27
838,2
840,2
843,6
846,2
851,2
852,7
853,54
854,42
855,2
856,6
858,31
860,3
861,2
862,6
863,3
864,4
865,3
866,2
867,3
868,1
869,3
870,5
871,8
872,17
873,19
874,43
875,25
876,1
879,21
880,9
