,Count,Nouns_Adjectives_TRIGRAM
1096,2173,bike rack reward
1077,141,bike rack outside
2762,114,home garage reward
2423,102,garage door open
975,92,bike rack car
3903,90,parking garage reward
201,83,apartment building reward
946,75,bike rack apartment
1590,74,cable lock bike
558,73,bike cable lock
960,73,bike rack bike
3129,67,lock bike rack
1704,64,car bike rack
3930,64,parking lot reward
3278,58,locked bike rack
2394,56,garage bike rack
4579,55,reward good karma
745,54,bike lock bike
5112,54,street sign reward
232,54,apartment complex reward
1047,53,bike rack lock
972,50,bike rack cable
1157,50,bike rack work
798,45,bike locked garage
1270,45,bike storage room
1082,44,bike rack parking
1215,43,bike shop bike
3306,40,locked garage reward
176,37,apartment bike rack
1158,36,bike rack workplace
4716,35,school bike rack
4379,34,rack reward negotiable
4242,34,rack cable lock
3936,33,parking meter reward
2373,33,garage apartment building
247,33,apartment garage reward
4448,33,rack work reward
4254,33,rack car reward
3884,32,parking garage bike
182,32,apartment building bike
3772,31,outside apartment reward
4345,31,rack parking garage
1048,30,bike rack locked
872,29,bike parking area
660,29,bike garage door
3148,29,lock bolt cutter
437,28,basement apartment building
4854,28,sign post reward
1013,28,bike rack garage
2509,27,garage reward negotiable
5050,27,storage unit reward
4449,26,rack workplace reward
1727,26,car rack reward
792,26,bike locked bike
2722,25,high school reward
4207,25,rack apartment building
3280,25,locked bike room
655,25,bike garage bike
1191,25,bike room reward
748,24,bike lock cable
3168,24,lock cut bike
4783,24,secured parking garage
5599,24,workplace bike rack
3155,23,lock cable lock
4657,23,room apartment building
5484,23,water bottle holder
761,23,bike lock helmet
1620,22,cable lock reward
4208,22,rack apartment complex
191,22,apartment building garage
810,22,bike locked storage
5026,21,storage locker reward
215,21,apartment complex bike
2785,20,home reward negotiable
1596,20,cable lock cut
5397,20,underground parking garage
1246,20,bike stolen garage
1592,20,cable lock cable
295,20,apt building reward
3274,20,locked bike cage
1260,19,bike storage area
3316,19,locked parking garage
1251,19,bike stolen locked
5596,19,work place reward
1102,19,bike rack school
3326,19,locked storage room
4966,19,station bike rack
5039,19,storage room reward
728,19,bike kryptonite lock
3066,18,light pole reward
1791,18,chain link fence
4531,18,residential garage reward
510,18,bike apartment building
3122,18,lock bike lock
3882,18,parking garage apartment
482,18,bicycle bike rack
3800,18,outside house reward
1243,18,bike stolen bike
2391,18,garage bike lock
4283,18,rack garage reward
1489,17,building bike rack
3372,17,main bike parking
2514,17,garage reward tbd
751,17,bike lock cut
4389,17,rack reward tbd
989,17,bike rack corner
4183,17,public bike rack
4655,17,roof rack reward
4570,17,reward eternal gratitude
873,17,bike parking garage
4560,16,reward cash reward
1027,16,bike rack home
5094,16,street pole reward
2318,16,frame rear wheel
4222,16,rack bike lock
4037,16,pm bike lock
2418,16,garage door bike
372,16,ave reward negotiable
318,16,area garage ave
2382,16,garage ave reward
3873,16,parking area garage
2776,16,home porch reward
3152,16,lock cable bike
3299,16,locked garage bike
4310,15,rack locked reward
1570,15,cable bike rack
171,15,apartment balcony reward
596,15,bike clark county
4300,15,rack lock bike
1686,15,campus bike rack
1622,15,cable lock scene
4771,15,secure parking garage
585,15,bike car rack
1105,14,bike rack secured
1505,14,building garage bike
2013,14,cut bike rack
3172,14,lock cut reward
668,14,bike garage open
2102,14,door open bike
1217,14,bike shop reward
5095,14,street post reward
3795,14,outside home reward
1416,14,bolt cutter bike
2444,14,garage home reward
4832,14,sidewalk bike rack
260,14,apartment parking garage
3067,14,light post reward
2304,14,frame bike rack
2177,13,elementary school reward
947,13,bike rack apt
4346,13,rack parking lot
5028,13,storage room apartment
4291,13,rack home reward
5516,13,wheel frame bike
4209,13,rack apartment reward
970,13,bike rack bus
5076,13,street bike rack
180,13,apartment building basement
2351,13,friend house reward
1109,13,bike rack sidewalk
675,13,bike garage thief
1576,13,cable cut bike
1125,13,bike rack sw
3943,13,parking sign reward
3757,13,oregon convention center
5244,13,thief garage bike
1183,13,bike room apartment
2699,13,heavy duty cable
1508,13,building garage reward
1120,13,bike rack street
511,13,bike apartment complex
3181,13,lock frame wheel
4962,13,state university campus
4093,13,porch house reward
264,13,apartment patio reward
571,13,bike cage reward
2410,13,garage cable lock
701,13,bike helmet lock
3137,12,lock bike stolen
3231,12,lock rear wheel
974,12,bike rack campus
1210,12,bike serial number
5434,12,used bolt cutter
3327,12,locked storage unit
996,12,bike rack dorm
3510,12,minute later bike
1153,12,bike rack wheel
1152,12,bike rack west
1733,12,car roof rack
2612,12,grant high school
1722,12,car port reward
4550,12,reward big hug
243,12,apartment garage bike
758,12,bike lock ground
1838,12,cleveland high school
4039,12,pm bike rack
854,12,bike open garage
1104,11,bike rack secure
4396,11,rack school reward
1098,11,bike rack right
5007,11,stop sign reward
1101,11,bike rack safeway
1598,11,cable lock frame
5483,11,water bottle cage
1860,11,college bike rack
4770,11,secure garage reward
5301,11,tire bike rack
1004,11,bike rack entrance
4753,11,second story balcony
1760,11,center bike rack
4695,11,san francisco reward
1633,11,cable lock wheel
297,11,apt complex reward
1276,11,bike street sign
2634,11,grocery store reward
2454,11,garage lock bike
3034,11,laundry room reward
177,11,apartment bike room
578,11,bike car bike
3092,11,lloyd center mall
2797,11,home yard reward
2824,10,hour bike lock
3895,10,parking garage lock
1568,10,cable bike lock
4223,10,rack bike rack
1893,10,complex bike rack
5236,10,thief cable lock
3915,10,parking lot apartment
2374,10,garage apartment complex
2999,10,kryptonite lock bike
5111,10,street sign post
2992,10,kryptonite cable lock
5251,10,thief lock bike
5363,10,truck bed reward
1144,10,bike rack university
2816,10,hotel parking lot
856,10,bike outside apartment
5347,10,transit center reward
1573,10,cable bolt cutter
968,10,bike rack building
3282,10,locked bike storage
3175,10,lock frame bike
4463,10,rear bike rack
4323,10,rack outside apartment
1490,10,building bike room
1265,10,bike storage locker
3481,10,metro station reward
4849,10,sign pole reward
646,10,bike frame wheel
1200,10,bike second floor
3247,10,lock tire frame
3256,10,lock wheel frame
1327,10,bike wheel frame
547,9,bike brand new
3885,9,parking garage building
3119,9,lock bike frame
3916,9,parking lot bike
1269,9,bike storage reward
2772,9,home patio reward
1136,9,bike rack truck
719,9,bike inside garage
2864,9,house garage reward
743,9,bike lock area
1163,9,bike rake reward
3781,9,outside bike rack
1420,9,bolt cutter lock
305,9,area apartment building
648,9,bike friend bike
3768,9,outside apartment building
3765,9,outdoor bike rack
777,9,bike lock reward
528,9,bike basement apartment
4373,9,rack reward good
1128,9,bike rack thieve
1070,9,bike rack north
4533,9,residential parking garage
4130,9,portland state university
908,9,bike police report
1817,9,city bike rack
5345,9,train station reward
4558,9,reward case beer
929,9,bike private garage
4301,9,rack lock cable
5110,9,street sign pole
2111,9,door open overnight
875,9,bike parking lot
4762,8,secure bike storage
662,8,bike garage home
4751,8,second floor balcony
4246,8,rack car bike
4480,8,rear wheel frame
1959,8,corner sw 5th
667,8,bike garage night
3185,8,lock ground bike
5355,8,trek mountain bike
1916,8,condo garage reward
178,8,apartment bike storage
4965,8,state university reward
4780,8,secured garage reward
4442,8,rack wheel frame
645,8,bike frame tire
5509,8,wheel bike rack
641,8,bike frame bike
4273,8,rack dorm reward
562,8,bike cage apartment
4846,8,sign forced entry
193,8,apartment building lock
3544,8,morning bike lock
3467,8,metal bike rack
2149,8,duty cable lock
4343,8,rack outside workplace
1001,8,bike rack east
3761,8,oregon state university
779,8,bike lock scene
1652,8,cable wheel frame
2387,8,garage bike garage
2716,8,high school bike
2728,8,hitch bike rack
2750,8,home bike rack
2760,8,home driveway reward
3938,8,parking pole reward
815,8,bike locker reward
4099,8,porch middle night
840,8,bike mountain bike
1142,8,bike rack underground
136,8,african american male
1601,8,cable lock ground
4600,8,reward return bike
698,8,bike heavy duty
652,7,bike garage apartment
1232,7,bike stair apartment
891,7,bike person bike
499,7,bicycle storage room
676,7,bike garage thieve
5407,7,unit apartment building
4996,7,stolen locked garage
5043,7,storage unit apartment
787,7,bike lock wheel
4987,7,stolen bike rack
5396,7,underground garage reward
1112,7,bike rack south
802,7,bike locked parking
1031,7,bike rack house
592,7,bike chain bike
1166,7,bike rear rack
878,7,bike parking rack
5276,7,thieve garage bike
5079,7,street corner reward
1149,7,bike rack wall
829,7,bike middle night
1207,7,bike secured parking
1201,7,bike second story
911,7,bike porch bike
921,7,bike porch steel
842,7,bike muni bus
1092,7,bike rack rear
1147,7,bike rack vehicle
1043,7,bike rack library
4970,7,steel bar reward
1086,7,bike rack porch
0,7,00 pm bike
555,7,bike cable bike
4426,7,rack truck reward
2711,7,helmet lock bike
1935,7,convention center reward
2919,7,inside garage reward
3780,7,outside bike lock
1855,7,coffee shop reward
2334,7,franklin high school
261,7,apartment parking lot
4561,7,reward college student
266,7,apartment porch reward
4580,7,reward good shape
4658,7,room apartment complex
3775,7,outside apt reward
3770,7,outside apartment door
3047,7,left garage door
3055,7,lewis clark college
2700,7,heavy duty chain
2592,7,golden gate park
1618,7,cable lock rack
4412,7,rack street reward
4186,7,public library reward
