,Count,Nouns
1969,6321,rack
1006,4867,garage
1460,2460,lock
1189,1901,home
76,1803,apartment
354,1117,cable
1211,1095,house
1781,1022,parking
318,1009,building
2379,997,street
1896,949,porch
388,839,car
2337,780,st
2801,739,yard
758,612,door
129,569,ave
138,561,backyard
2493,551,thief
2745,526,wheel
970,514,frame
2370,507,storage
1879,477,pm
1690,449,night
91,445,area
1778,399,park
2156,378,school
2092,368,room
909,366,fence
1635,349,morning
2427,349,sw
1906,347,post
1474,334,lot
1210,333,hour
158,327,bar
171,326,basement
2775,326,work
2247,322,sign
599,320,corner
2527,310,tire
2780,303,workplace
423,300,center
1016,292,gate
1884,286,pole
2176,285,seat
2366,282,stolen
2524,278,time
2371,275,store
2357,255,station
1603,250,minute
375,249,campus
1793,246,patio
2488,242,theft
779,239,driveway
431,238,chain
2231,229,shop
2029,225,residence
1745,215,outside
1711,211,nw
685,208,day
662,205,cut
1863,203,place
1462,195,locker
1160,195,helmet
2593,189,truck
2632,189,university
982,188,friend
557,188,complex
2183,185,security
360,183,cage
1828,182,person
2152,177,scene
2243,173,sidewalk
945,170,floor
146,169,balcony
845,168,entrance
1976,168,railing
130,167,avenue
368,166,camera
2761,165,window
1371,164,kryptonite
767,164,downtown
1573,163,metal
1502,161,man
2494,160,thieve
2576,160,tree
2068,159,road
567,152,condo
339,150,bus
1725,149,office
248,149,bolt
2036,147,restaurant
396,146,carport
1901,145,portland
527,140,college
1112,140,hall
1428,138,library
1120,137,handlebar
1432,136,light
663,135,cutter
1498,134,male
2630,134,unit
1091,131,ground
1709,131,number
1520,130,market
2460,125,tbd
296,125,broadway
240,124,blvd
2685,124,video
2712,122,wall
479,117,city
2025,117,report
19,116,access
2668,113,vehicle
694,109,deck
2341,108,stair
1647,108,mountain
337,106,burnside
2726,106,way
1885,105,police
236,105,block
2577,105,trek
2356,104,state
59,103,alley
1103,102,guy
750,99,division
2805,98,year
192,98,beer
2364,98,sticker
955,97,foot
1331,95,karma
863,94,evening
2142,94,saturday
1145,93,hawthorne
1585,93,middle
1677,92,neighbor
2449,92,tape
2407,90,sunday
962,86,fork
1812,85,pedal
1500,85,mall
1890,84,polouse
2119,84,saddle
1837,84,photo
1261,83,inside
1208,81,hotel
277,81,brake
566,80,condition
2250,80,silver
1574,79,meter
934,79,fitness
1995,78,rear
518,78,coffee
2053,78,right
404,78,cash
686,77,daylight
2122,76,safeway
37,75,afternoon
2298,74,south
954,74,food
911,74,fender
1844,74,picture
140,73,bag
548,73,community
2542,72,tool
1072,71,gratitude
2740,71,west
263,71,bottle
180,70,beach
357,70,cafe
167,69,bart
846,69,entry
2049,69,ride
1975,69,rail
2553,67,town
1225,67,hug
1342,67,key
2721,66,water
1938,66,property
1542,66,max
2360,66,steel
2090,66,roof
1678,65,neighborhood
2291,65,son
2043,65,return
1205,65,hospital
1090,65,grocery
1008,64,garden
2566,63,train
1104,63,gym
466,61,church
837,61,end
2135,61,san
1624,61,monday
2598,61,tube
1751,61,owner
283,60,break
1272,60,intersection
739,59,dinner
2309,59,speed
1579,59,meyer
1811,59,pearl
2495,58,thing
1089,58,grip
2769,58,woman
2736,58,week
755,58,dollar
1637,57,morrison
1459,57,location
1625,57,money
605,57,couch
173,56,basket
1110,56,hair
2660,56,van
279,55,brand
762,55,dorm
1959,54,question
2420,54,surveillance
239,53,blue
956,53,footage
2661,53,vancouver
775,53,drive
2224,53,shimano
67,53,amp
1738,53,oregon
2484,52,thank
2623,52,ulock
195,52,bell
1397,52,laundry
1180,52,holder
1440,51,line
1273,51,interstate
1577,51,metro
1348,51,kid
2347,50,stand
341,50,business
1713,50,oak
1696,50,noon
2688,50,view
2127,49,salmon
2179,49,seattle
329,49,burglary
2486,49,theater
487,48,class
1113,48,hallway
981,47,friday
1256,47,information
1182,47,holgate
2626,47,underground
615,47,courtyard
1846,46,piece
1994,46,rd
102,46,art
1586,46,midnight
188,46,bed
