,Count,Nouns_Adj
845,3037,bike rack
580,476,bike bike
208,402,apartment building
1293,384,cable lock
4039,382,parking garage
753,357,bike lock
3187,327,lock bike
2318,257,garage bike
4043,245,parking lot
2342,202,garage door
2750,191,home garage
689,178,bike garage
211,172,apartment complex
3358,162,locked garage
4543,142,rack outside
4432,125,rack bike
1897,125,door open
4447,116,rack car
913,108,bike storage
911,108,bike stolen
1108,102,bolt cutter
5340,101,storage room
601,101,bike cable
3341,101,locked bike
5342,100,storage unit
1274,98,cable bike
3196,93,lock cable
806,90,bike parking
225,87,apartment garage
1174,86,building bike
1395,83,car bike
3682,82,mountain bike
865,82,bike room
2357,80,garage garage
1419,80,car rack
602,78,bike cage
4847,78,road bike
5551,78,thief bike
5958,77,wheel frame
2393,75,garage open
3894,72,outside apartment
4445,71,rack cable
5413,71,street sign
5030,71,serial number
4418,71,rack apartment
4688,70,rear wheel
798,70,bike outside
2306,65,garage apartment
754,63,bike locked
3843,63,open garage
605,61,bike car
206,61,apartment bike
2361,60,garage home
832,59,bike porch
5325,58,storage area
4547,58,rack parking
4519,57,rack lock
3215,57,lock cut
1191,55,building garage
2810,55,hour bike
884,55,bike shop
563,54,bike apartment
2263,54,frame wheel
2734,52,home bike
4259,52,police report
5011,52,security camera
684,52,bike frame
2225,52,frame bike
5127,51,sign post
5069,51,shop bike
3250,51,lock lock
4210,50,pm bike
3586,50,middle night
4033,49,parking area
3648,49,morning bike
5293,49,stolen bike
5812,48,underground parking
278,48,apt building
4045,47,parking meter
2128,46,fenced yard
448,46,basement apartment
1149,46,broad daylight
1744,46,cut bike
3083,45,left bike
5911,45,water bottle
3899,44,outside bike
2373,43,garage lock
2678,43,heavy duty
5336,42,storage locker
718,42,bike helmet
2534,42,good karma
4629,42,rack work
2387,41,garage negotiable
3237,41,lock helmet
1867,41,door bike
3293,41,lock scene
935,41,bike time
583,40,bike black
4294,39,porch house
4992,39,secure garage
2436,39,garage thief
3378,38,locked storage
4677,38,rear rack
2363,38,garage house
3836,38,open bike
2849,38,house bike
3744,38,night bike
3228,37,lock frame
3601,37,minute bike
987,37,bike yard
3233,37,lock ground
2964,37,inside garage
6038,36,window bike
3073,36,laundry room
5567,36,thief garage
4859,36,room apartment
904,35,bike stand
2458,35,garage yes
4856,35,roof rack
2120,35,fenced backyard
777,35,bike morning
5004,35,secured garage
2391,34,garage night
5374,34,street bike
5671,34,tire bike
974,34,bike wheel
6160,33,year old
293,33,area bike
4630,33,rack workplace
4462,33,rack corner
3926,32,outside house
1498,32,chain lock
3607,32,minute later
4051,32,parking sign
5810,32,underground garage
3041,32,kryptonite lock
5947,32,wheel bike
2262,31,frame tire
1282,31,cable cut
2278,31,friend house
1486,31,chain bike
4959,31,seat post
789,30,bike night
6012,30,white male
3359,30,locked gate
1113,30,bottle holder
4370,30,private garage
6129,29,yard house
1,29,00 pm
2274,29,friend bike
932,29,bike thief
1418,29,car port
246,29,apartment patio
5005,28,secured parking
1982,28,early morning
936,28,bike tire
4975,28,second floor
4778,28,residential garage
6081,28,work bike
916,28,bike street
4923,28,school bike
2158,28,floor apartment
4223,28,pm pm
6114,28,yard bike
5966,28,wheel lock
4446,28,rack campus
3352,28,locked door
1558,27,coffee shop
3760,27,night morning
245,27,apartment parking
4632,27,rack yes
3124,27,light pole
2599,27,guy bike
