,Count,Nouns
134,9505,bike
1279,5060,rack
657,4731,garage
946,1936,lock
769,1779,home
50,1663,apartment
1146,981,parking
235,952,cable
210,908,building
785,879,house
1228,778,porch
256,773,car
1817,652,yard
498,594,door
1548,582,street
86,559,backyard
1624,548,thief
635,508,frame
1780,496,wheel
1084,446,night
1542,438,storage
60,436,area
588,347,fence
1048,343,morning
957,332,lot
133,330,bicycle
105,326,basement
1360,322,room
1215,316,pm
784,314,hour
1823,306,yes
1642,306,tire
1237,294,post
1539,289,stolen
1408,281,seat
1462,277,sign
1640,274,time
664,272,gate
389,267,corner
96,256,bar
1218,250,pole
1033,250,minute
1799,245,work
1620,240,theft
283,238,chain
515,234,driveway
1155,234,patio
1543,221,store
1119,202,outside
445,196,day
753,195,helmet
1396,190,school
359,182,complex
1449,182,shop
1804,181,workplace
431,176,cut
1393,176,scene
238,173,cage
1283,166,railing
643,166,friend
248,166,campus
547,166,entrance
616,165,floor
1788,165,window
1415,165,security
91,164,balcony
1532,161,station
506,159,downtown
1178,158,person
1626,158,thieve
242,157,camera
1203,156,place
1322,155,residence
1144,153,park
1014,149,metal
973,145,man
1519,144,st
926,143,light
1696,142,truck
160,142,bolt
366,139,condo
948,138,locker
263,135,carport
1681,133,tree
730,133,handlebar
432,131,cutter
1095,131,number
1349,130,road
1105,129,office
706,128,ground
1717,127,unit
1459,125,sidewalk
970,124,male
79,121,ave
1329,117,restaurant
1603,117,tbd
12,115,access
225,114,bus
1320,112,report
1760,112,wall
1335,109,reward
1745,107,video
1522,102,stair
820,101,inside
151,98,block
1820,98,year
1537,98,sticker
279,97,center
452,95,deck
121,95,beer
623,95,foot
1075,93,neighbor
718,93,guy
559,92,evening
1594,92,tape
41,88,alley
1022,87,middle
1055,85,mountain
1734,81,vehicle
1168,81,pedal
365,80,condition
1338,79,right
1768,79,way
1293,77,rear
180,77,brake
629,76,fork
590,74,fender
1374,74,saddle
29,74,afternoon
1189,73,picture
446,73,daylight
1465,73,silver
88,72,bag
1181,72,photo
1651,71,tool
1219,70,police
548,69,entry
171,69,bottle
883,68,kryptonite
1223,67,polouse
864,65,key
983,64,market
922,64,library
692,64,gratitude
1334,62,return
1259,62,property
184,62,break
1076,62,neighborhood
1336,61,ride
542,61,end
1125,61,owner
1015,61,meter
828,60,intersection
269,60,cash
1765,60,water
1698,59,tube
1489,57,son
704,57,grip
1627,57,thing
1776,57,week
1045,56,money
722,56,hair
482,56,dinner
1534,56,steel
106,55,basket
945,54,location
793,54,hug
1282,54,rail
153,53,blue
496,53,dollar
1575,53,surveillance
1501,52,speed
1274,52,question
624,52,footage
764,52,holder
622,50,food
46,50,amp
1358,50,roof
1494,49,south
338,49,coffee
719,49,gym
502,48,dorm
1795,48,woman
815,47,information
316,47,class
219,47,burglary
1527,47,stand
119,46,bed
1191,46,piece
862,46,karma
901,46,laundry
868,46,kid
705,45,grocery
1671,45,train
1661,45,town
182,44,brand
1646,43,today
1511,43,spot
227,43,business
1129,43,padlock
1777,42,weekend
723,42,half
350,42,combination
683,41,good
1670,41,trailer
1088,41,noon
83,41,backpack
933,40,line
401,40,courtyard
1553,40,structure
